request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_44,36447.63,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-04, min balance reaches limit. not_affordable."
request_45,3279019.33,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. affordable_later."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.4|2024-12-15:12591.6,2024-12-15,none,"Based on 90-day simulation starting 2024-12-03, min balance reaches limit. affordable_with_plan."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Based on 90-day simulation starting 2025-05-05, min balance reaches limit. affordable_now."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Based on 90-day simulation starting 2026-07-25, min balance reaches limit. affordable_now."
request_49,11553361.68,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-04, min balance reaches limit. not_affordable."
request_50,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-06, min balance reaches limit. not_affordable."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Based on 90-day simulation starting 2026-01-03, min balance reaches limit. affordable_now."
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Based on 90-day simulation starting 2024-06-05, min balance reaches limit. affordable_later."
request_53,458.2,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Based on 90-day simulation starting 2025-11-07, min balance reaches limit. affordable_with_plan."
request_54,2064.79,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-04, min balance reaches limit. not_affordable."
request_55,124785.47,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,stop:event_5101,"Based on 90-day simulation starting 2026-06-08, min balance reaches limit. affordable_with_plan."
request_56,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-03, min balance reaches limit. not_affordable."
request_57,12601.97,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Based on 90-day simulation starting 2026-04-05, min balance reaches limit. affordable_later."
request_58,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-07, min balance reaches limit. not_affordable."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Based on 90-day simulation starting 2025-05-04, min balance reaches limit. affordable_with_plan."
request_60,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-06, min balance reaches limit. not_affordable."
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Based on 90-day simulation starting 2024-03-03, min balance reaches limit. affordable_with_plan."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Based on 90-day simulation starting 2025-08-05, min balance reaches limit. affordable_now."
request_63,47903.84,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-07, min balance reaches limit. not_affordable."
request_64,42789.37,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,"Based on 90-day simulation starting 2024-06-04, min balance reaches limit. affordable_with_plan."
request_65,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-06, min balance reaches limit. not_affordable."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Based on 90-day simulation starting 2026-04-03, min balance reaches limit. affordable_now."
request_67,256.26,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Based on 90-day simulation starting 2024-09-05, min balance reaches limit. affordable_later."
request_68,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-07, min balance reaches limit. not_affordable."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,"Based on 90-day simulation starting 2026-01-04, min balance reaches limit. affordable_now."
request_70,49475.42,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Based on 90-day simulation starting 2024-12-06, min balance reaches limit. affordable_later."
request_71,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-03, min balance reaches limit. not_affordable."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. affordable_now."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Based on 90-day simulation starting 2023-01-20, min balance reaches limit. affordable_now."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Based on 90-day simulation starting 2025-08-04, min balance reaches limit. affordable_now."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. affordable_with_plan."
request_76,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-03, min balance reaches limit. not_affordable."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Based on 90-day simulation starting 2025-11-05, min balance reaches limit. affordable_now."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Based on 90-day simulation starting 2025-10-02, min balance reaches limit. affordable_now."
request_79,194.96,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-09-04, min balance reaches limit. not_affordable."
request_80,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-06, min balance reaches limit. not_affordable."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. affordable_now."
request_82,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-05, min balance reaches limit. not_affordable."
request_83,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-07, min balance reaches limit. not_affordable."
request_84,28101.74,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. affordable_later."
request_85,366785.26,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-06, min balance reaches limit. not_affordable."
request_86,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-03, min balance reaches limit. not_affordable."
request_87,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. not_affordable."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Based on 90-day simulation starting 2024-06-07, min balance reaches limit. affordable_with_plan."
request_89,9142706.21,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8403:203300.0|reduce_to:event_8337:266760.0,"Based on 90-day simulation starting 2025-11-04, min balance reaches limit. affordable_with_plan."
request_90,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. not_affordable."
request_91,454.78,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Based on 90-day simulation starting 2024-09-03, min balance reaches limit. affordable_later."
request_92,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-05, min balance reaches limit. not_affordable."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Based on 90-day simulation starting 2026-04-07, min balance reaches limit. affordable_now."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Based on 90-day simulation starting 2024-12-04, min balance reaches limit. affordable_now."
request_95,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-06, min balance reaches limit. not_affordable."
request_96,73613.2,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Based on 90-day simulation starting 2026-01-03, min balance reaches limit. affordable_with_plan."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Based on 90-day simulation starting 2024-03-05, min balance reaches limit. affordable_with_plan."
request_98,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-07, min balance reaches limit. not_affordable."
request_99,16575.54,affordable_later,wait,2026-07-15:18062,2026-07-15,none,"Based on 90-day simulation starting 2026-07-04, min balance reaches limit. affordable_later."
request_100,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-06, min balance reaches limit. not_affordable."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Based on 90-day simulation starting 2025-11-03, min balance reaches limit. affordable_now."
request_102,1475.16,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-05, min balance reaches limit. not_affordable."
request_103,6522.73,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-09-07, min balance reaches limit. not_affordable."
request_104,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-04, min balance reaches limit. not_affordable."
request_105,52017.01,affordable_later,wait,2026-06-15:53500,2026-06-15,none,"Based on 90-day simulation starting 2026-06-08, min balance reaches limit. affordable_later."
request_106,440.12,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Based on 90-day simulation starting 2024-12-03, min balance reaches limit. affordable_later."
request_107,1501.07,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-05, min balance reaches limit. not_affordable."
request_108,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-07, min balance reaches limit. not_affordable."
request_109,460.56,affordable_later,not_recommended,none,2024-05-15,none,"Based on 90-day simulation starting 2024-03-04, min balance reaches limit. affordable_later."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Based on 90-day simulation starting 2025-08-06, min balance reaches limit. affordable_with_plan."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Based on 90-day simulation starting 2026-04-03, min balance reaches limit. affordable_now."
request_112,218.08,affordable_later,wait,2024-08-15:271.7,2024-08-15,none,"Based on 90-day simulation starting 2024-06-05, min balance reaches limit. affordable_later."
request_113,19318.78,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Based on 90-day simulation starting 2026-09-04, min balance reaches limit. affordable_later."
request_114,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-04, min balance reaches limit. not_affordable."
request_115,14552.2,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Based on 90-day simulation starting 2024-09-06, min balance reaches limit. affordable_later."
request_116,6679.16,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-03, min balance reaches limit. not_affordable."
request_117,848.69,affordable_later,wait,2026-07-15:880,2026-07-15,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. affordable_later."
request_118,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-07, min balance reaches limit. not_affordable."
request_119,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-04, min balance reaches limit. not_affordable."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. affordable_now."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,"Based on 90-day simulation starting 2024-03-03, min balance reaches limit. affordable_now."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Based on 90-day simulation starting 2025-08-05, min balance reaches limit. affordable_with_plan."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Based on 90-day simulation starting 2026-01-07, min balance reaches limit. affordable_now."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Based on 90-day simulation starting 2024-06-04, min balance reaches limit. affordable_with_plan."
request_125,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-06, min balance reaches limit. not_affordable."
request_126,24109.51,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. not_affordable."
request_127,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-09-05, min balance reaches limit. not_affordable."
request_128,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-07, min balance reaches limit. not_affordable."
request_129,110.47,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. not_affordable."
request_130,377.89,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Based on 90-day simulation starting 2024-12-06, min balance reaches limit. affordable_later."
request_131,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-03, min balance reaches limit. not_affordable."
request_132,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. not_affordable."
request_133,15770000.0,affordable_later,not_recommended,none,2024-03-07,none,"Based on 90-day simulation starting 2024-03-07, min balance reaches limit. affordable_later."
request_134,4469014.82,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Based on 90-day simulation starting 2025-08-04, min balance reaches limit. affordable_later."
request_135,268.92,affordable_later,wait,2026-07-15:304.8,2026-07-15,none,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. affordable_later."
request_136,492.02,affordable_later,wait,2024-06-15:560.4,2024-06-15,none,"Based on 90-day simulation starting 2024-06-03, min balance reaches limit. affordable_later."
request_137,24928.9,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Based on 90-day simulation starting 2025-11-05, min balance reaches limit. affordable_later."
request_138,876.35,affordable_with_plan,partial_payment,2026-04-07:876.35|2026-04-15:380.59,2026-04-15,none,"Based on 90-day simulation starting 2026-04-07, min balance reaches limit. affordable_with_plan."
request_139,1368.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Based on 90-day simulation starting 2024-09-04, min balance reaches limit. affordable_with_plan."
request_140,3550.69,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-06, min balance reaches limit. not_affordable."
request_141,21484.24,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-03, min balance reaches limit. not_affordable."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Based on 90-day simulation starting 2024-12-05, min balance reaches limit. affordable_now."
request_143,2855.57,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Based on 90-day simulation starting 2025-05-07, min balance reaches limit. affordable_later."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Based on 90-day simulation starting 2026-07-04, min balance reaches limit. affordable_now."
request_145,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-06, min balance reaches limit. not_affordable."
request_146,14054.86,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-03, min balance reaches limit. not_affordable."
request_147,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-05, min balance reaches limit. not_affordable."
request_148,7256.42,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13593,"Based on 90-day simulation starting 2024-06-07, min balance reaches limit. affordable_with_plan."
request_149,21803.21,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-15,reduce_to:event_13703:1013.76,"Based on 90-day simulation starting 2025-11-04, min balance reaches limit. affordable_with_plan."
request_150,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-06, min balance reaches limit. not_affordable."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Based on 90-day simulation starting 2024-09-03, min balance reaches limit. affordable_now."
request_152,10825.79,affordable_later,not_recommended,none,2025-04-15,none,"Based on 90-day simulation starting 2025-02-05, min balance reaches limit. affordable_later."
request_153,12.42,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-07, min balance reaches limit. not_affordable."
request_154,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-04, min balance reaches limit. not_affordable."
request_155,97346.84,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-06, min balance reaches limit. not_affordable."
request_156,9864.31,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Based on 90-day simulation starting 2026-04-03, min balance reaches limit. affordable_later."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Based on 90-day simulation starting 2024-03-05, min balance reaches limit. affordable_later."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Based on 90-day simulation starting 2025-08-07, min balance reaches limit. affordable_with_plan."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Based on 90-day simulation starting 2026-01-04, min balance reaches limit. affordable_now."
request_160,661.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Based on 90-day simulation starting 2024-06-06, min balance reaches limit. affordable_with_plan."
request_161,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-03, min balance reaches limit. not_affordable."
request_162,3003961.72,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. not_affordable."
request_163,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-09-07, min balance reaches limit. not_affordable."
request_164,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-04, min balance reaches limit. not_affordable."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Based on 90-day simulation starting 2026-04-06, min balance reaches limit. affordable_now."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Based on 90-day simulation starting 2024-12-03, min balance reaches limit. affordable_with_plan."
request_167,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-05-05, min balance reaches limit. not_affordable."
request_168,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-07, min balance reaches limit. not_affordable."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Based on 90-day simulation starting 2024-03-04, min balance reaches limit. affordable_now."
request_170,29532545.43,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-10-15,reduce_to:event_15670:779950.0,"Based on 90-day simulation starting 2025-08-06, min balance reaches limit. affordable_with_plan."
request_171,17.48,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-07-03, min balance reaches limit. not_affordable."
request_172,9444.89,affordable_with_plan,partial_payment,2024-06-05:9444.89|2024-06-15:755.11,2024-06-15,none,"Based on 90-day simulation starting 2024-06-05, min balance reaches limit. affordable_with_plan."
request_173,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-07, min balance reaches limit. not_affordable."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Based on 90-day simulation starting 2026-04-04, min balance reaches limit. affordable_with_plan."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Based on 90-day simulation starting 2024-09-06, min balance reaches limit. affordable_now."
request_176,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-03, min balance reaches limit. not_affordable."
request_177,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-05, min balance reaches limit. not_affordable."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Based on 90-day simulation starting 2024-12-07, min balance reaches limit. affordable_with_plan."
request_179,6048661.43,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Based on 90-day simulation starting 2025-05-04, min balance reaches limit. affordable_later."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Based on 90-day simulation starting 2026-07-06, min balance reaches limit. affordable_now."
request_181,496.59,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-03-03, min balance reaches limit. not_affordable."
request_182,4854.45,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-05, min balance reaches limit. not_affordable."
request_183,24305387.64,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Based on 90-day simulation starting 2026-04-07, min balance reaches limit. affordable_with_plan."
request_184,9316.1,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-06-04, min balance reaches limit. not_affordable."
request_185,305.65,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,"Based on 90-day simulation starting 2025-11-06, min balance reaches limit. affordable_later."
request_186,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-03, min balance reaches limit. not_affordable."
request_187,38384.36,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Based on 90-day simulation starting 2024-09-05, min balance reaches limit. affordable_later."
request_188,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-07, min balance reaches limit. not_affordable."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,"Based on 90-day simulation starting 2026-07-04, min balance reaches limit. affordable_now."
request_190,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2024-12-06, min balance reaches limit. not_affordable."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,"Based on 90-day simulation starting 2025-05-03, min balance reaches limit. affordable_now."
request_192,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-04-05, min balance reaches limit. not_affordable."
request_193,5.92,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Based on 90-day simulation starting 2024-03-07, min balance reaches limit. affordable_with_plan."
request_194,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-08-04, min balance reaches limit. not_affordable."
request_195,47.98,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2026-01-06, min balance reaches limit. not_affordable."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,"Based on 90-day simulation starting 2024-06-03, min balance reaches limit. affordable_now."
request_197,36630093.46,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-05, min balance reaches limit. not_affordable."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Based on 90-day simulation starting 2026-07-07, min balance reaches limit. affordable_now."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Based on 90-day simulation starting 2024-09-04, min balance reaches limit. affordable_with_plan."
request_200,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-02-06, min balance reaches limit. not_affordable."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Based on 90-day simulation starting 2026-04-03, min balance reaches limit. affordable_now."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Based on 90-day simulation starting 2024-12-05, min balance reaches limit. affordable_now."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Based on 90-day simulation starting 2025-05-07, min balance reaches limit. affordable_with_plan."
request_204,570.34,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Based on 90-day simulation starting 2026-01-04, min balance reaches limit. affordable_later."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Based on 90-day simulation starting 2024-03-06, min balance reaches limit. affordable_now."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Based on 90-day simulation starting 2025-08-03, min balance reaches limit. affordable_with_plan."
request_207,4106.28,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Based on 90-day simulation starting 2026-07-05, min balance reaches limit. affordable_later."
request_208,2975858.03,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Based on 90-day simulation starting 2024-06-07, min balance reaches limit. affordable_later."
request_209,0.0,not_affordable,not_recommended,none,,none,"Based on 90-day simulation starting 2025-11-04, min balance reaches limit. not_affordable."
